filter,kernel_size,cpu_ms,gpu_ms,speedup
gaussian,3,250.294400,1.405920,178.028903
gaussian,5,473.382700,1.000448,473.170724
gaussian,7,685.681300,1.020928,671.625504
gaussian,9,865.552100,1.507328,574.229418
gaussian,11,1047.237900,18.508801,56.580539
gaussian,13,1206.079100,16.841728,71.612550
gaussian,15,1350.842300,17.071104,79.130342
gaussian,17,1488.597700,20.990976,70.916077
gaussian,19,1602.599400,20.547585,77.994540
gaussian,21,1726.602700,24.430592,70.673798
gaussian,23,1844.983000,25.375744,72.706558
gaussian,25,1980.392900,28.607489,69.226381
gaussian,27,2102.510400,28.624895,73.450414
gaussian,29,2208.741600,31.811584,69.431990
gaussian,31,2317.291900,32.709633,70.844326
gaussian,33,2443.502100,39.892990,61.251415
gaussian,35,2556.184500,36.193279,70.625944
gaussian,37,2672.046100,39.805950,67.126801
gaussian,39,2796.620300,40.224770,69.524831
gaussian,41,2913.231500,44.079105,66.090985
gaussian,43,3033.946000,44.875774,67.607658
gaussian,45,3142.077300,48.589825,64.665335
gaussian,47,3285.003900,49.491966,66.374488
gaussian,49,3399.587000,53.522430,63.517052
